number	year	rinc_citations	scopus_citations	title	title_ru	title_ru_display	title_en	title_en_source	authors	venue	venue_ru	venue_en	venue_en_source	volume	issue	pages	doi	url	gost_ru	apa_en	sources
	2026			Physical trends and design principles in aliovalent double half-Heusler thermoelectrics from high-throughput computational screening	Physical trends and design principles in aliovalent double half-Heusler thermoelectrics from high-throughput computational screening	Physical trends and design principles in aliovalent double half-Heusler thermoelectrics from high-throughput computational screening	Physical trends and design principles in aliovalent double half-Heusler thermoelectrics from high-throughput computational screening	existing_publication	Danil R. Baigutlin, Vladimir V. Sokolovskiy, Sergey V. Taskaev	Physical Review B	Physical Review B	Physical Review B	existing_publication	114	14		10.1103/bf1b-wyp9	https://doi.org/10.1103/bf1b-wyp9	Danil R. Baigutlin, Vladimir V. Sokolovskiy, Sergey V. Taskaev. Physical trends and design principles in aliovalent double half-Heusler thermoelectrics from high-throughput computational screening. // Physical Review B. — 2026. — Т. 114. — № 14. — DOI: 10.1103/bf1b-wyp9.	Danil R. Baigutlin, Vladimir V. Sokolovskiy, & Sergey V. Taskaev (2026). Physical trends and design principles in aliovalent double half-Heusler thermoelectrics from high-throughput computational screening. Physical Review B, 114(14). https://doi.org/10.1103/bf1b-wyp9	orcid_public_api,crossref_api
2	2025	0		ПРЕДСКАЗАНИЕ УПРУГИХ СВОЙСТВ КРИСТАЛЛИЧЕСКОЙ СТРУКТУРЫ СПЛАВОВ ГЕЙСЛЕРА В РАМКАХ МАШИННОГО ОБУЧЕНИЯ	Предсказание упругих свойств кристаллической структуры сплавов Гейслера в рамках машинного обучения	Предсказание упругих свойств кристаллической структуры сплавов Гейслера в рамках машинного обучения	PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING	existing_publication	Моисеев Д.М., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д.	Челябинский физико-математический журнал	Челябинский физико-математический журнал			10	2	286-296	10.47475/2500-0101-2025-10-2-286-296	https://www.elibrary.ru/item.asp?id=82741704	Моисеев Д.М., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д. Предсказание упругих свойств кристаллической структуры сплавов Гейслера в рамках машинного обучения. // Челябинский физико-математический журнал. 2025. Т. 10. № 2. С. 286-296. URL: https://www.elibrary.ru/item.asp?id=82741704.	Moiseev, D. M., Baigutlin, D. R., Sokolovskii, V. V., & Buchelnikov, V. D. (2025). Predskazanie uprugikh svoistv kristallicheskoi struktury splavov Geislera v ramkakh mashinnogo obucheniya. Chelyabinskii fiziko-matematicheskii zhurnal, 10(2), 286–296. https://www.elibrary.ru/item.asp?id=82741704	eLibrary/RSCI,openalex_api,elibrary
3	2025	3	4	SYSTEMATIC STUDY OF D0-D KYZ (Y = SC, TI, V, CR, MN, FE, CO, NI, CU, Z = AL, GA, IN, SI, GE, SN, PB, P, AS, SB, BI, S, SE, TE) HEUSLER ALLOYS	Systematic study of d0-d kyz (y = sc, ti, v, cr, mn, fe, co, ni, cu, z = al, ga, in, si, ge, sn, pb, p, as, sb, bi, s, se, te) heusler alloys	Systematic study of d0-d kyz (y = sc, ti, v, cr, mn, fe, co, ni, cu, z = al, ga, in, si, ge, sn, pb, p, as, sb, bi, s, se, te) heusler alloys	SYSTEMATIC STUDY OF D0-D KYZ (Y = SC, TI, V, CR, MN, FE, CO, NI, CU, Z = AL, GA, IN, SI, GE, SN, PB, P, AS, SB, BI, S, SE, TE) HEUSLER ALLOYS	existing_publication	Matyunina M., Baigutlin D., Sokolovskiy V., Buchelnikov V.	Physica B: Condensed Matter	Physica B: Condensed Matter	Physica B: Condensed Matter	existing_publication	697	а	416701-416701	10.1016/j.physb.2024.416701	https://www.elibrary.ru/item.asp?id=80734559	Matyunina M., Baigutlin D., Sokolovskiy V., Buchelnikov V. Systematic study of d0-d kyz (y = sc, ti, v, cr, mn, fe, co, ni, cu, z = al, ga, in, si, ge, sn, pb, p, as, sb, bi, s, se, te) heusler alloys. // Physica B: Condensed Matter. 2025. Т. 697. С. 416701. URL: https://www.elibrary.ru/item.asp?id=80734559.	Matyunina M., Baigutlin D., Sokolovskiy V., & Buchelnikov V. (2025). Systematic study of d0-d kyz (y = sc, ti, v, cr, mn, fe, co, ni, cu, z = al, ga, in, si, ge, sn, pb, p, as, sb, bi, s, se, te) heusler alloys. Physica B: Condensed Matter, 697, 416701. https://www.elibrary.ru/item.asp?id=80734559	eLibrary/RSCI,crossref_api,openalex_api,orcid_public_api,elibrary,scopus
4	2025	0		INSIGHT INTO HALF-METALLICITY, ELECTRONIC STRUCTURE, AND THERMAL TRANSPORT PROPERTIES OF FERHGA 1 − X AS X HEUSLER ALLOYS	Insight into half-metallicity, electronic structure, and thermal transport properties of ferhga 1 − x as x heusler alloys	Insight into half-metallicity, electronic structure, and thermal transport properties of ferhga 1 − x as x heusler alloys	INSIGHT INTO HALF-METALLICITY, ELECTRONIC STRUCTURE, AND THERMAL TRANSPORT PROPERTIES OF FERHGA 1 − X AS X HEUSLER ALLOYS	existing_publication	Pavlukhina O., Sokolovskiy V., Baigutlin D., Buchelnikov V., Zotov I.	Journal of Magnetism and Magnetic Materials	Journal of Magnetism and Magnetic Materials	Journal of Magnetism and Magnetic Materials	existing_publication	629	а	173268-173268	10.1016/j.jmmm.2025.173268	https://www.elibrary.ru/item.asp?id=84675898	Pavlukhina O., Sokolovskiy V., Baigutlin D., Buchelnikov V., Zotov I. Insight into half-metallicity, electronic structure, and thermal transport properties of ferhga 1 − x as x heusler alloys. // Journal of Magnetism and Magnetic Materials. 2025. Т. 629. С. 173268. URL: https://www.elibrary.ru/item.asp?id=84675898.	Pavlukhina O., Sokolovskiy V., Baigutlin D., Buchelnikov V., & Zotov I. (2025). Insight into half-metallicity, electronic structure, and thermal transport properties of ferhga 1 − x as x heusler alloys. Journal of Magnetism and Magnetic Materials, 629, 173268. https://www.elibrary.ru/item.asp?id=84675898	eLibrary/RSCI,openalex_api,elibrary
	2025		2	Insight into half-metallicity, electronic structure, and thermal transport properties of FeRhGa1−xAsx Heusler alloys	Insight into half-metallicity, electronic structure, and thermal transport properties of FeRhGa1−xAsx Heusler alloys	Insight into half-metallicity, electronic structure, and thermal transport properties of FeRhGa1−xAsx Heusler alloys	Insight into half-metallicity, electronic structure, and thermal transport properties of FeRhGa1−xAsx Heusler alloys	existing_publication	Pavlukhina O.	Journal of Magnetism and Magnetic Materials	Journal of Magnetism and Magnetic Materials	Journal of Magnetism and Magnetic Materials	existing_publication	629		173268-173268	10.1016/j.jmmm.2025.173268	https://www.scopus.com/record/display.uri?eid=2-s2.0-105008686251	Pavlukhina O. Insight into half-metallicity, electronic structure, and thermal transport properties of FeRhGa1−xAsx Heusler alloys. // Journal of Magnetism and Magnetic Materials. — 2025. — Т. 629. — С. 173268–173268. — DOI: 10.1016/j.jmmm.2025.173268.	Pavlukhina O. (2025). Insight into half-metallicity, electronic structure, and thermal transport properties of FeRhGa1−xAsx Heusler alloys. Journal of Magnetism and Magnetic Materials, 629, 173268–173268. https://doi.org/10.1016/j.jmmm.2025.173268	scopus,openalex_api
	2025		0	PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING	PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING	PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING	PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING	existing_publication	Moiseev D.M.	Chelyabinsk Physical and Mathematical Journal	Chelyabinsk Physical and Mathematical Journal	Chelyabinsk Physical and Mathematical Journal	existing_publication	10	2	286–296	10.47475/2500-0101-2025-10-2-286-296	https://www.scopus.com/record/display.uri?eid=2-s2.0-105025371113	Moiseev D.M. PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING. // Chelyabinsk Physical and Mathematical Journal. — 2025. — Т. 10. — № 2. — С. 286–296. — DOI: 10.47475/2500-0101-2025-10-2-286-296.	Moiseev, D. M. (2025). PREDICTION OF ELASTIC PROPERTIES OF THE CRYSTAL STRUCTURE OF HEUSLER ALLOYS USING MACHINE LEARNING. Chelyabinsk Physical and Mathematical Journal, 10(2), 286–296. https://doi.org/10.47475/2500-0101-2025-10-2-286-296	scopus
5	2024	0		ТЕРМОЭЛЕКТРИЧЕСКИЕ СВОЙСТВА СПЛАВОВ ГЕЙСЛЕРА НА ОСНОВЕ ЩЕЛОЧНЫХ МЕТАЛЛОВ	Термоэлектрические свойства сплавов Гейслера на основе щелочных металлов	Термоэлектрические свойства сплавов Гейслера на основе щелочных металлов	Thermoelectric properties of Geisler alloys based on alkali metals	argos_translate_ru_en	Матюнина М.В., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д.	Ы	Ы			FROM ATOMISTIC TO MACRO	22-12-20032	5-6		https://www.elibrary.ru/item.asp?id=68641010	Матюнина М.В., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д. Термоэлектрические свойства сплавов Гейслера на основе щелочных металлов. // В сборнике: АтоМ: FROM ATOMISTIC TO MACRO. Сборник тезисов первой всероссийской школы-семинара по компьютерному моделированию. Челябинск, 2024. С. 5-6. URL: https://www.elibrary.ru/item.asp?id=68641010.	Matyunina, M. V., Baigutlin, D. R., Sokolovskii, V. V., & Buchelnikov, V. D. (2024). Termoelektricheskie svoistva splavov Geislera na osnove shchelochnykh metallov. V sbornike: AtoM: FROM ATOMISTIC TO MACRO. Sbornik tezisov pervoi vserossiiskoi shkoly-seminara po kompyuternomu modelirovaniyu. Chelyabinsk,, 5–6. https://www.elibrary.ru/item.asp?id=68641010	eLibrary/RSCI,elibrary
6	2024	0		ТЕРМОЭЛЕКТРИЧЕСКИЕ СВОЙСТВА ДВОЙНОГО ПОЛУСПЛАВА ГЕЙСЛЕРА TI 2 MNNISI 2	Термоэлектрические свойства двойного полусплава Гейслера ti 2 mnnisi 2	Термоэлектрические свойства двойного полусплава Гейслера ti 2 mnnisi 2	Thermoelectric properties of Geisler double alloy ti 2 mnnisi 2	argos_translate_ru_en	Матюнина М.В., Байгутлин Д.Р., Загребин М.А., Соколовский В.В., Бучельников В.Д.	Ы	Ы			обменно-корреляционных взаимодействий в приближении обобщенного градиента в формулировке PBE [3]...	22-1220032	130-132		https://www.elibrary.ru/item.asp?id=74520946	Матюнина М.В., Байгутлин Д.Р., Загребин М.А., Соколовский В.В., Бучельников В.Д. Термоэлектрические свойства двойного полусплава Гейслера ti 2 mnnisi 2. // В сборнике: Дни калорики в Башкортостане: функциональные материалы и их приложения. Сборник тезисов Пятого научного семинара. Челябинск, 2024. С. 130-132. URL: https://www.elibrary.ru/item.asp?id=74520946.	Matyunina, M. V., Baigutlin, D. R., Zagrebin, M. A., Sokolovskii, V. V., & Buchelnikov, V. D. (2024). Termoelektricheskie svoistva dvoinogo polusplava Geislera ti 2 mnnisi 2. V sbornike: Dni kaloriki v Bashkortostane: funktsionalnye materialy i ikh prilozheniya. Sbornik tezisov Pyatogo nauchnogo seminara. Chelyabinsk,, 130–132. https://www.elibrary.ru/item.asp?id=74520946	eLibrary/RSCI,elibrary
7	2024	0		ПРОГНОЗИРОВАНИЕ МЕХАНИЧЕСКИХ ХАРАКТЕРИСТИК СПЛАВОВ ГЕЙСЛЕРА С ПОМОЩЬЮ ТЕХНОЛОГИЙ МАШИННОГО ОБУЧЕНИЯ	Прогнозирование механических характеристик сплавов Гейслера с помощью технологий машинного обучения	Прогнозирование механических характеристик сплавов Гейслера с помощью технологий машинного обучения	Prediction of mechanical characteristics of Geisler alloys using machine learning technologies	argos_translate_ru_en	Моисеев Д.М., Соколовский В.В., Байгутлин Д.Р.	Ы	Ы			107	24-12-20016)	128-129		https://www.elibrary.ru/item.asp?id=74520945	Моисеев Д.М., Соколовский В.В., Байгутлин Д.Р. Прогнозирование механических характеристик сплавов Гейслера с помощью технологий машинного обучения. // В сборнике: Дни калорики в Башкортостане: функциональные материалы и их приложения. Сборник тезисов Пятого научного семинара. Челябинск, 2024. С. 128-129. URL: https://www.elibrary.ru/item.asp?id=74520945.	Moiseev, D. M., Sokolovskii, V. V., & Baigutlin, D. R. (2024). Prognozirovanie mekhanicheskikh kharakteristik splavov Geislera s pomoshchyu tekhnologii mashinnogo obucheniya. V sbornike: Dni kaloriki v Bashkortostane: funktsionalnye materialy i ikh prilozheniya. Sbornik tezisov Pyatogo nauchnogo seminara. Chelyabinsk,, 128–129. https://www.elibrary.ru/item.asp?id=74520945	eLibrary/RSCI,elibrary
8	2024	0		ПРЕДСКАЗАНИЕ УПРУГИХ СВОЙСТВ СПЛАВОВ ГЕЙСЛЕРА, ПОЛНОСТЬЮ СОСТОЯЩИХ ИЗ ПЕРЕХОДНЫХ МЕТАЛЛОВ, В РАМКАХ МАШИННОГО ОБУЧЕНИЯ	Предсказание упругих свойств сплавов Гейслера, полностью состоящих из переходных металлов, в рамках машинного обучения	Предсказание упругих свойств сплавов Гейслера, полностью состоящих из переходных металлов, в рамках машинного обучения	Predicting the elastic properties of Geisler alloys composed entirely of transition metals in machine learning	argos_translate_ru_en	Моисеев Д.М., Соколовский В.В., Байгутлин Д.Р.	Ы	Ы					160-162		https://www.elibrary.ru/item.asp?id=72567426	Моисеев Д.М., Соколовский В.В., Байгутлин Д.Р. Предсказание упругих свойств сплавов Гейслера, полностью состоящих из переходных металлов, в рамках машинного обучения. // В сборнике: Новое в Магнетизме и Магнитных Материалах. Сборник докладов XXV Международной конференции. Москва, 2024. С. 160-162. URL: https://www.elibrary.ru/item.asp?id=72567426.	Moiseev, D. M., Sokolovskii, V. V., & Baigutlin, D. R. (2024). Predskazanie uprugikh svoistv splavov Geislera, polnostyu sostoyashchikh iz perekhodnykh metallov, v ramkakh mashinnogo obucheniya. V sbornike: Novoe v Magnetizme i Magnitnykh Materialakh. Sbornik dokladov XXV Mezhdunarodnoi konferentsii. Moskva,, 160–162. https://www.elibrary.ru/item.asp?id=72567426	eLibrary/RSCI,elibrary
